category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",11-95,hamilton-hps,11-95,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Destruct/Damage/Vandalize Prop,hamilton-hps,Destruct/Damage/Vandalize Prop,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,5267,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Truck,hamilton-hps,Theft - Truck,3781,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Business,hamilton-hps,Break and Enter - Business,3161,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Residence,hamilton-hps,Break and Enter - Residence,2575,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Automobile,hamilton-hps,Theft - Automobile,2350,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,2283,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Other,hamilton-hps,Break and Enter - Other,969,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Business,hamilton-hps,Robbery - Business,269,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - NO Damage,165,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft  - Motorcycle,hamilton-hps,Theft  - Motorcycle,150,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery,hamilton-hps,Robbery,145,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - Damage,110,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Home Invasion,hamilton-hps,Robbery - Home Invasion,104,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 2nd Degree,hamilton-hps,Murder 2nd Degree,20,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
